is_member,year,month,day,hour,recor_count
0,,04,Friday,00,386
0,,04,Friday,01,341
0,,04,Friday,02,225
0,,04,Friday,03,169
0,,04,Friday,04,64
0,,04,Friday,05,30
0,,04,Friday,06,50
0,,04,Friday,07,212
0,,04,Friday,08,525
0,,04,Friday,09,444
0,,04,Friday,10,520
0,,04,Friday,11,739
0,,04,Friday,12,929
0,,04,Friday,13,997
0,,04,Friday,14,1135
0,,04,Friday,15,1355
0,,04,Friday,16,1464
0,,04,Friday,17,1664
0,,04,Friday,18,1480
0,,04,Friday,19,1236
0,,04,Friday,20,859
0,,04,Friday,21,875
0,,04,Friday,22,802
0,,04,Friday,23,685
0,,04,Monday,00,247
0,,04,Monday,01,181
0,,04,Monday,02,96
0,,04,Monday,03,68
0,,04,Monday,04,34
0,,04,Monday,05,17
0,,04,Monday,06,93
0,,04,Monday,07,223
0,,04,Monday,08,555
0,,04,Monday,09,543
0,,04,Monday,10,692
0,,04,Monday,11,1032
0,,04,Monday,12,1202
0,,04,Monday,13,1530
0,,04,Monday,14,1534
0,,04,Monday,15,1693
0,,04,Monday,16,1808
0,,04,Monday,17,1913
0,,04,Monday,18,1508
0,,04,Monday,19,1151
0,,04,Monday,20,746
0,,04,Monday,21,609
0,,04,Monday,22,547
0,,04,Monday,23,366
0,,04,Saturday,00,664
0,,04,Saturday,01,745
0,,04,Saturday,02,599
0,,04,Saturday,03,476
0,,04,Saturday,04,158
0,,04,Saturday,05,54
0,,04,Saturday,06,46
0,,04,Saturday,07,101
0,,04,Saturday,08,286
0,,04,Saturday,09,570
0,,04,Saturday,10,1011
0,,04,Saturday,11,1741
0,,04,Saturday,12,2229
0,,04,Saturday,13,2719
0,,04,Saturday,14,3321
0,,04,Saturday,15,3916
0,,04,Saturday,16,3857
0,,04,Saturday,17,3439
0,,04,Saturday,18,2630
0,,04,Saturday,19,1892
0,,04,Saturday,20,1130
0,,04,Saturday,21,988
0,,04,Saturday,22,936
0,,04,Saturday,23,857
0,,04,Sunday,00,694
0,,04,Sunday,01,559
0,,04,Sunday,02,499
0,,04,Sunday,03,465
0,,04,Sunday,04,143
0,,04,Sunday,05,78
0,,04,Sunday,06,60
0,,04,Sunday,07,112
0,,04,Sunday,08,314
0,,04,Sunday,09,773
0,,04,Sunday,10,1615
0,,04,Sunday,11,2376
0,,04,Sunday,12,2891
0,,04,Sunday,13,3497
0,,04,Sunday,14,4010
0,,04,Sunday,15,4064
0,,04,Sunday,16,3599
0,,04,Sunday,17,2891
0,,04,Sunday,18,2251
0,,04,Sunday,19,1621
0,,04,Sunday,20,1066
0,,04,Sunday,21,681
0,,04,Sunday,22,701
0,,04,Sunday,23,467
0,,04,Thursday,00,251
0,,04,Thursday,01,189
0,,04,Thursday,02,149
0,,04,Thursday,03,75
0,,04,Thursday,04,37
0,,04,Thursday,05,33
0,,04,Thursday,06,75
0,,04,Thursday,07,224
0,,04,Thursday,08,526
0,,04,Thursday,09,481
0,,04,Thursday,10,487
0,,04,Thursday,11,728
0,,04,Thursday,12,898
0,,04,Thursday,13,1135
0,,04,Thursday,14,1168
0,,04,Thursday,15,1378
0,,04,Thursday,16,1534
0,,04,Thursday,17,1704
0,,04,Thursday,18,1394
0,,04,Thursday,19,1150
0,,04,Thursday,20,814
0,,04,Thursday,21,664
0,,04,Thursday,22,638
0,,04,Thursday,23,575
0,,04,Tuesday,00,224
0,,04,Tuesday,01,133
0,,04,Tuesday,02,88
0,,04,Tuesday,03,64
0,,04,Tuesday,04,16
0,,04,Tuesday,05,35
0,,04,Tuesday,06,70
0,,04,Tuesday,07,245
0,,04,Tuesday,08,636
0,,04,Tuesday,09,614
0,,04,Tuesday,10,637
0,,04,Tuesday,11,832
0,,04,Tuesday,12,989
0,,04,Tuesday,13,1141
0,,04,Tuesday,14,1227
0,,04,Tuesday,15,1404
0,,04,Tuesday,16,1512
0,,04,Tuesday,17,1849
0,,04,Tuesday,18,1406
0,,04,Tuesday,19,1068
0,,04,Tuesday,20,794
0,,04,Tuesday,21,663
0,,04,Tuesday,22,565
0,,04,Tuesday,23,325
0,,04,Wednesday,00,235
0,,04,Wednesday,01,137
0,,04,Wednesday,02,99
0,,04,Wednesday,03,65
0,,04,Wednesday,04,34
0,,04,Wednesday,05,37
0,,04,Wednesday,06,58
0,,04,Wednesday,07,268
0,,04,Wednesday,08,548
0,,04,Wednesday,09,419
0,,04,Wednesday,10,501
0,,04,Wednesday,11,544
0,,04,Wednesday,12,694
0,,04,Wednesday,13,722
0,,04,Wednesday,14,834
0,,04,Wednesday,15,920
0,,04,Wednesday,16,1029
0,,04,Wednesday,17,1150
0,,04,Wednesday,18,1065
0,,04,Wednesday,19,873
0,,04,Wednesday,20,587
0,,04,Wednesday,21,492
0,,04,Wednesday,22,511
0,,04,Wednesday,23,310
0,,05,Friday,00,1452
0,,05,Friday,01,1048
0,,05,Friday,02,726
0,,05,Friday,03,541
0,,05,Friday,04,222
0,,05,Friday,05,180
0,,05,Friday,06,300
0,,05,Friday,07,910
0,,05,Friday,08,2076
0,,05,Friday,09,1848
0,,05,Friday,10,2372
0,,05,Friday,11,3342
0,,05,Friday,12,3867
0,,05,Friday,13,4173
0,,05,Friday,14,4983
0,,05,Friday,15,5405
0,,05,Friday,16,6137
0,,05,Friday,17,6165
0,,05,Friday,18,5983
0,,05,Friday,19,5122
0,,05,Friday,20,4387
0,,05,Friday,21,3693
0,,05,Friday,22,3622
0,,05,Friday,23,3415
0,,05,Monday,00,1489
0,,05,Monday,01,993
0,,05,Monday,02,628
0,,05,Monday,03,482
0,,05,Monday,04,167
0,,05,Monday,05,168
0,,05,Monday,06,264
0,,05,Monday,07,724
0,,05,Monday,08,1725
0,,05,Monday,09,1862
0,,05,Monday,10,2666
0,,05,Monday,11,4022
0,,05,Monday,12,4635
0,,05,Monday,13,5209
0,,05,Monday,14,5715
0,,05,Monday,15,5741
0,,05,Monday,16,6005
0,,05,Monday,17,5925
0,,05,Monday,18,4931
0,,05,Monday,19,4047
0,,05,Monday,20,3103
0,,05,Monday,21,2338
0,,05,Monday,22,1791
0,,05,Monday,23,1262
0,,05,Saturday,00,2510
0,,05,Saturday,01,2558
0,,05,Saturday,02,2005
0,,05,Saturday,03,1782
0,,05,Saturday,04,524
0,,05,Saturday,05,258
0,,05,Saturday,06,207
0,,05,Saturday,07,426
0,,05,Saturday,08,1131
0,,05,Saturday,09,2263
0,,05,Saturday,10,4459
0,,05,Saturday,11,7188
0,,05,Saturday,12,9555
0,,05,Saturday,13,11742
0,,05,Saturday,14,12860
0,,05,Saturday,15,13412
0,,05,Saturday,16,12136
0,,05,Saturday,17,10980
0,,05,Saturday,18,9825
0,,05,Saturday,19,8058
0,,05,Saturday,20,6033
0,,05,Saturday,21,4669
0,,05,Saturday,22,4457
0,,05,Saturday,23,4185
0,,05,Sunday,00,3536
0,,05,Sunday,01,2911
0,,05,Sunday,02,2484
0,,05,Sunday,03,2349
0,,05,Sunday,04,700
0,,05,Sunday,05,292
0,,05,Sunday,06,290
0,,05,Sunday,07,447
0,,05,Sunday,08,1234
0,,05,Sunday,09,2926
0,,05,Sunday,10,5841
0,,05,Sunday,11,9116
0,,05,Sunday,12,12049
0,,05,Sunday,13,14140
0,,05,Sunday,14,15655
0,,05,Sunday,15,16245
0,,05,Sunday,16,15902
0,,05,Sunday,17,14132
0,,05,Sunday,18,12222
0,,05,Sunday,19,9829
0,,05,Sunday,20,7743
0,,05,Sunday,21,5455
0,,05,Sunday,22,4299
0,,05,Sunday,23,2910
0,,05,Thursday,00,1514
0,,05,Thursday,01,992
0,,05,Thursday,02,641
0,,05,Thursday,03,425
0,,05,Thursday,04,154
0,,05,Thursday,05,157
0,,05,Thursday,06,336
0,,05,Thursday,07,1212
